,CPU,GHz,GPU,RAM,RAMType,Screen,Storage,SSD,Weight,Price
327,i7,2.4,nvidia,16,ddr3,15.0,256,True,3.08,700
328,i7,2.4,nvidia,16,ddr3,15.0,512,True,3.08,751
329,i7,2.4,nvidia,16,ddr3,15.0,512,True,3.08,774
330,i7,2.5,nvidia,16,ddr3,17.0,256,True,3.46,945
331,i7,2.9,nvidia,32,ddr3,17.0,512,True,3.46,1085
332,i7,2.8,nvidia,16,ddr3,17.0,180,True,3.46,640
333,i7,2.7,nvidia,16,ddr3,17.0,256,True,3.46,911
334,i7,2.6,nvidia,16,ddr4,15.0,512,True,2.0,1158
335,i7,2.6,nvidia,16,ddr4,15.0,512,True,2.0,1310
336,i5,2.2,intel,8,ddr3,12.0,128,True,1.45,357
337,i5,2.2,intel,8,ddr3,12.0,128,True,1.45,364
338,i5,2.5,intel,8,ddr3,14.0,500,False,2.26,273
339,i5,2.3,intel,8,ddr3,14.0,192,True,2.0,568
340,i7,2.7,nvidia,16,ddr4,15.0,256,True,2.5,863
341,i7,2.6,nvidia,16,ddr4,15.0,512,True,2.5,1470
342,i7,2.7,nvidia,16,ddr4,15.0,512,True,2.5,1277
343,i5,2.5,intel,4,ddr3,14.0,250,False,2.4,199
344,i5,2.6,intel,4,ddr3,14.0,320,False,2.33,215
345,i5,2.6,intel,4,ddr3,14.0,320,False,2.33,181
346,i5,2.6,intel,8,ddr3,14.0,128,True,2.33,307
347,i5,2.6,intel,8,ddr3,14.0,128,True,2.33,273
348,i5,2.5,intel,8,ddr3,14.0,128,True,2.33,261
349,i5,2.6,intel,8,ddr3,14.0,128,True,2.33,284
350,i5,1.6,intel,8,ddr3,14.0,128,True,1.8,368
351,i5,1.6,intel,8,ddr3,14.0,500,False,1.8,305
352,i5,2.6,intel,8,ddr3,14.0,128,True,2.26,305
353,i5,2.5,intel,8,ddr3,14.0,256,True,2.26,420
354,i7,2.9,intel,16,ddr3,14.0,256,True,2.26,515
355,i7,2.9,intel,16,ddr3,14.0,256,True,2.26,442
356,i7,2.9,intel,16,ddr3,14.0,256,True,2.26,484
357,i5,2.2,intel,8,ddr3,14.0,180,True,1.73,399
358,i5,2.2,intel,8,ddr3,14.0,180,True,1.73,399
359,i5,2.2,intel,8,ddr3,14.0,180,True,1.73,357
360,i5,2.2,intel,8,ddr3,14.0,180,True,1.73,368
361,i5,2.2,intel,8,ddr3,14.0,256,True,1.6,431
362,i5,2.3,intel,8,ddr3,14.0,256,True,1.73,652
363,i5,2.3,intel,8,ddr3,14.0,256,True,1.73,598
364,i5,2.4,intel,8,ddr4,14.0,192,True,1.4,600
365,i5,2.4,intel,8,ddr4,14.0,192,True,1.4,603
366,i5,2.3,intel,8,ddr4,14.0,256,True,1.4,621
367,i5,2.6,intel,8,ddr4,14.0,128,True,1.4,821
368,i5,2.3,intel,8,ddr4,14.0,512,True,1.4,911
369,i5,2.3,intel,8,ddr4,14.0,512,True,1.4,831
370,i5,1.7,intel,8,ddr4,14.0,256,True,1.6,1082
371,i5,1.7,intel,8,ddr4,14.0,256,True,1.6,937
372,i5,1.7,intel,8,ddr4,14.0,256,True,1.6,1059
373,i5,2.5,nvidia,8,ddr3,15.0,128,True,2.5,484
374,i5,2.5,intel,8,ddr3,15.0,128,True,2.5,378
375,i5,2.5,intel,8,ddr3,15.0,500,False,2.5,375
376,i5,2.2,intel,8,ddr3,15.0,180,True,2.1,547
377,i5,2.2,intel,8,ddr3,15.0,180,True,2.1,463
378,i7,2.6,nvidia,8,ddr3,15.0,180,True,2.81,505
379,i7,2.7,nvidia,16,ddr3,15.0,180,True,2.48,737
380,i7,2.8,nvidia,16,ddr3,15.0,512,True,2.48,768
381,i5,1.9,intel,8,ddr3,12.0,128,True,1.45,283
382,i5,1.6,intel,8,ddr3,12.0,256,True,1.45,336
383,i5,1.6,intel,8,ddr3,12.0,500,False,1.45,262
384,i5,2.2,intel,8,ddr3,12.0,256,True,1.45,336
